Row Labels,A0,A1,A2,,B0,B1,,C_previous1,C_previous2,C_previous3,C_previous4,C_previousNA,,C1,C2,C3,C4,,D1,D2,D3,,E0,E1,,F0,F1,F2,F3,,G1,G2,G3,G4,(blank),Grand Total,,,,,,Row Labels,A0,A1,A2,,B0,B1,,C_previous1,C_previous2,C_previous3,C_previous4,C_previousNA,,C1,C2,C3,C4,,D1,D2,D3,,E0,E1,,F0,F1,F2,F3,,G1,G2,G3,G4
A0,122313,,,,93976,28337,,44147,21739,38732,10791,6904,,63374,26377,28231,4331,,41101,31621,49591,,119407,2906,,110229,5433,5852,799,,26921,60809,20765,13818,,978504,,,,,,A0,21378,,,,15021,6357,,7963,4012,7064,1942,397,,10253,5034,5259,832,,5067,5920,10391,,20796,582,,18678,1234,1280,186,,4957,11229,4360,832
A1,,366485,,,175129,191356,,83033,59524,159902,55120,8906,,87144,71854,173128,34359,,41560,79546,245379,,156020,210465,,57081,116540,192477,387,,77384,136383,114584,38134,,2931880,,,,,,A1,,59582,,,27410,32172,,13140,9877,26901,9364,300,,13810,12286,26600,6886,,5511,12417,41654,,23283,36299,,9302,19930,30301,49,,11801,20902,20563,6316
A2,,,79442,,43140,36302,,19612,11620,32088,14057,2065,,23434,14844,32285,8879,,11330,16950,51162,,41526,37916,,17839,12678,21308,27617,,17384,30267,25117,6674,,635536,,,,,,A2,,,16049,,8393,7656,,4112,2412,6473,2913,139,,4930,3073,6104,1942,,2048,3339,10662,,8053,7996,,3266,2798,4588,5397,,3499,5647,5774,1129
B0,93976,175129,43140,,312245,,,84882,49482,123340,42247,12294,,109634,58972,120001,23638,,65474,70632,176139,,240406,71839,,126979,60343,107063,17860,,67474,129697,83113,31961,,2497960,,,,,,B0,15021,27410,8393,,50824,,,13872,8175,20906,7319,552,,16923,10114,19075,4712,,7827,11524,31473,,36960,13864,,20047,10841,16611,3325,,10478,20842,15683,3821
B1,28337,191356,36302,,,255995,,61910,43401,107382,37721,5581,,64318,54103,113643,23931,,28517,57485,169993,,76547,179448,,58170,74308,112574,10943,,54215,97762,77353,26665,,2047960,,,,,,B1,6357,32172,7656,,,46185,,11343,8126,19532,6900,284,,12070,10279,18888,4948,,4799,10152,31234,,15172,31013,,11199,13121,19558,2307,,9779,16936,15014,4456
C_previous1,44147,83033,19612,,84882,61910,,146792,,,,,,107511,20806,17542,933,,52874,41954,51964,,92227,54565,,50351,25827,61033,9581,,38665,57024,38448,12655,,1174336,,,,,,C_previous1,7963,13140,4112,,13872,11343,,25215,,,,,,19609,3697,1761,148,,8415,7752,9048,,15655,9560,,8693,4482,10046,1994,,6561,10092,7178,1384
C_previous2,21739,59524,11620,,49482,43401,,,92883,,,,,18605,59487,14216,575,,12499,36605,43779,,54516,38367,,26940,23103,38131,4709,,22167,37872,23648,9196,,743064,,,,,,C_previous2,4012,9877,2412,,8175,8126,,,16301,,,,,3073,11283,1818,127,,1617,6656,8028,,9307,6994,,4738,4108,6537,918,,3873,6667,4589,1172
C_previous3,38732,159902,32088,,123340,107382,,,,230722,,,,30622,22649,172782,4669,,17185,38233,175304,,118548,112174,,73727,61356,86116,9523,,44623,90512,69850,25737,,1845776,,,,,,C_previous3,7064,26901,6473,,20906,19532,,,,40438,,,,4705,4035,30414,1284,,1901,5996,32541,,19971,20467,,12871,11207,14506,1854,,7360,15548,13608,3922
C_previous4,10791,55120,14057,,42247,37721,,,,,79968,,,8830,6619,23968,40551,,4932,6982,68054,,38589,41379,,25775,21433,28781,3979,,13814,29294,26765,10095,,639744,,,,,,C_previous4,1942,9364,2913,,7319,6900,,,,,14219,,,1239,1169,3743,8068,,490,1041,12688,,6563,7656,,4501,4053,4870,795,,2217,4993,5229,1780
C_previousNA,6904,8906,2065,,12294,5581,,,,,,17875,,8384,3514,5136,841,,6501,4343,7031,,13073,4802,,8356,2932,5576,1011,,2420,12757,1755,943,,143000,,,,,,C_previousNA,397,300,139,,552,284,,,,,,836,,367,209,227,33,,203,231,402,,636,200,,443,112,210,71,,246,478,93,19
